obra_cod;obra_descricao;Marca;Regional;Carteira;VGV;Data
3062;LIVING WISH LAPA;LIVING;São Paulo;8046739,58;8046739,58;30/04/2021
3065;VIVAZ DEL CASTILHO;VIVAZ;Rio de Janeiro;60024585,99;60024585,99;30/04/2021
3073;VARANDA TATUAPÉ;CYRELA;São Paulo;2973928,57;2973928,57;30/04/2021
3083;LIVING RESORT;LIVING;São Paulo;4871027,59;134834141,4;30/04/2021
3124;INSPIRED IN SÃO PAULO;CYRELA;São Paulo;568502,21;568502,21;30/04/2021
3130;LIVING ELEGANCE SÃO PAULO;LIVING;São Paulo;57496667,49;57496667,49;30/04/2021
3131;VIVAZ VILA GUILHERME;VIVAZ;São Paulo;42765840,41;42765840,41;30/04/2021
3132;ONE SIXTY;CYRELA;São Paulo;23965695,34;23965695,34;30/04/2021
3134;LATITUD;CYRELA;Rio de Janeiro;115333204,3;115333204,3;30/04/2021
3136;FOR CONSOLAÇÃO;LIVING;São Paulo;27148174,28;27148174,28;30/04/2021
3138;HIPICA BOULEVARD;CYRELA;São Paulo;827001,36;16841248,69;30/04/2021
3145;VITTA JAÇANA RESIDENCE CLUBE;LIVING;São Paulo;12825,82;88769361,83;30/04/2021
3147;YOU CLUBE RESIDENCIAL;LIVING;SUL;183487,53;183487,53;30/04/2021
3237;RESIDENCIAL DI MARANELLO;CYRELA;São Paulo;1343055,64;74103309,39;30/04/2021
3240;BOTAFOGO LONG STAY;CYRELA;Rio de Janeiro;590985,46;34255236,38;30/04/2021
3252;LIVING CELEBRATION;LIVING;São Paulo;6478570,21;6478570,21;30/04/2021
3253;GRAN CYPRIANI;CYRELA;São Paulo;818178,41;818178,41;30/04/2021
3259;ISLA BY CYRELA;CYRELA;São Paulo;118908893;118908893;30/04/2021
3264;LIVING CHOICE JOÃO PINHEIRO;LIVING;Rio de Janeiro;3005749,66;3005749,66;30/04/2021
3396;MAIS CAMPOS SALLES;LIVING;São Paulo;164018,49;120445549,4;30/04/2021
3412;CYRELA LANDSCAPE ESPLANADA VOTORANTIM;CYRELA;Loteamento;8678435,38;8678435,38;30/04/2021
3413;CYRELA LANDSCAPE UBERLÂNDIA RESIDENCIAL DOS IPÊS;CYRELA;Loteamento;4511991,18;4511991,18;30/04/2021
3461;LE PARC RESIDENCIAL RESORT;CYRELA;Rio de Janeiro;190952,85;873755774,3;30/04/2021
3467;PLENO JAÇANÃ;LIVING;São Paulo;95367,03;95412580,08;30/04/2021
3487;VITA SÃO MIGUEL;LIVING;São Paulo;207792,46;73345278,26;30/04/2021
3488;ESCRITORIOS RIO NEGRO;CYRELA;São Paulo;2864755,96;277281987,4;30/04/2021
3490;GREEN MOND;CYRELA;São Paulo;57663404,06;73524940,97;30/04/2021
3491;NEXT OFFICE CASTANHEIRA;LIVING;Norte;15006286,52;82427575,72;30/04/2021
3499;LIVING CONNECT;LIVING;São Paulo;2805407,2;2805407,2;30/04/2021
3513;EXATO RIO GRANDE;LIVING;Rio de Janeiro;2649170,49;2649170,49;30/04/2021
3522;CENNARIO SC;CYRELA;Sul;11707,92;3237454,33;30/04/2021
3584;TREE MORUMBI;LIVING;São Paulo;969226,84;112316169,7;30/04/2021
3589;FRIENDS RESIDENCIAL;LIVING;Rio de Janeiro;974876,81;49279401;30/04/2021
3604;AGORA DOLCE VITA;LIVING;Sul;32832,11;14977309,07;30/04/2021
3619;ESSENCIAL ESCRITÓRIOS;LIVING;ES;538812,24;38802070,56;30/04/2021
3623;GRAND MOND;CYRELA;São Paulo;119753897,5;148274101,8;30/04/2021
3652;MAIS GUARULHOS;LIVING;São Paulo;99056,93;151654539,4;30/04/2021
3655;CYRELA LANDSCAPE UBERABA;CYRELA;Loteamento;15718057,56;167214705;30/04/2021
3662;PLENO NOVO ENGORDADOURO;LIVING;São Paulo;175645,78;175645,78;30/04/2021
3668;CAMINO TULIPA;CYRELA;São Paulo;81693,66;168627910,3;30/04/2021
3678;CYRELA LANDSCAPE MARICÁ;CYRELA;Loteamento;9566190,92;47777651,68;30/04/2021
3679;WAY BANDEIRANTES RESIDENCIAL;LIVING;Rio de Janeiro;814101,28;101544908;30/04/2021
3680;UP LIFE - PR;LIVING;Sul;301540,2;57507562,28;30/04/2021
3681;IDYLLE CAMBUI;CYRELA;São Paulo;828193,54;70150110,46;30/04/2021
3682;PLENO COMERCIAL;Living;Norte;838664,35;8615418,26;30/04/2021
3684;AGORA CANOAS;LIVING;Sul;12246,11;963158,95;30/04/2021
3707;LIVING NORD VIEW;LIVING;São Paulo;37940107,82;49551044,03;30/04/2021
3765;CONDOMÍNIO VILLE FRANÇA;CYRELA;Norte;2977919,49;4577259,56;30/04/2021
3772;ATMOSFERA RJ;CYRELA;Rio de Janeiro;207044,3;479599493,2;30/04/2021
3790;EVIDENCE;CYRELA;Klabin;2032471,51;97952784,21;30/04/2021
3995;LIVING MAGIC 2;LIVING;São Paulo;1656136,52;228668198,5;30/04/2021
4005;WELCOME TAQUARAL;LIVING;São Paulo;2103709,61;93093278,41;30/04/2021
4141;JARDIM DE VENETO;CYRELA;Norte;2821677,75;201887768,1;30/04/2021
4142;JARDIM DE ANDALUZIA;CYRELA;Norte;1979550,26;138701691,6;30/04/2021
4143;PATIO JARDINS - SLZ;CYRELA;Norte;7695216,83;149602793,4;30/04/2021
4149;395 PLACE;CYRELA;Norte;356219,87;113932910,2;30/04/2021
