Cliente;Regional;Obra;Bloco;Unidade;Dt Venda;Dt Chaves; Saldo Devedor ; Valor Pago Atualizado ; Valor Pago ;VGV
CLIENTE 1;São Paulo;8312;01;000118;31/03/2021;01/07/2023;403807,31; R$ 301.200,45 ; R$ 30.275,75 ; R$ 434.083,06 
CLIENTE 2;São Paulo;8312;01;000208;31/08/2020;01/07/2023;551115,05; R$ 194.088,88 ; R$ 179.156,54 ; R$ 730.271,59 
CLIENTE 3;São Paulo;8312;01;000212;16/11/2020;01/07/2023;362792,5; R$ 87.043,19 ; R$ 81.860,36 ; R$ 444.652,86 
CLIENTE 4;São Paulo;8312;01;000220;29/12/2020;01/07/2023;444074,58; R$ 27.406,76 ; R$ 26.850,52 ; R$ 470.925,10 
CLIENTE 5;São Paulo;8312;01;000304;10/09/2020;01/07/2023;274206,06; R$ 152.861,05 ; R$ 147.521,52 ; R$ 421.727,58 
CLIENTE 6;São Paulo;8312;01;000305;14/09/2020;01/07/2023;434649,18; R$ 33.091,80 ; R$ 30.644,31 ; R$ 465.293,49 
CLIENTE 7;São Paulo;8312;01;000311;31/08/2020;01/07/2023;397641,02; R$ 53.833,40 ; R$ 49.549,54 ; R$ 447.190,56 
CLIENTE 8;São Paulo;8312;01;000312;30/09/2020;01/07/2023;439538,18; R$ 24.798,72 ; R$ 23.765,07 ; R$ 463.303,25 
CLIENTE 9;São Paulo;8312;01;000313;31/08/2020;01/07/2023;280373,12; R$ 152.197,90 ; R$ 138.957,47 ; R$ 419.330,59 
CLIENTE 10;São Paulo;8312;01;000315;25/08/2020;01/07/2023;425112,83; R$ 32.826,92 ; R$ 31.003,69 ; R$ 456.116,52 
CLIENTE 11;São Paulo;8312;01;000317;25/08/2020;01/07/2023;425112,79; R$ 32.793,54 ; R$ 30.944,92 ; R$ 456.057,71 
CLIENTE 12;São Paulo;8312;01;000320;10/09/2020;01/07/2023;251026,73; R$ 183.886,72 ; R$ 170.294,22 ; R$ 421.320,95 
CLIENTE 13;São Paulo;8312;01;000321;18/09/2020;01/07/2023;359275,61; R$ 77.065,50 ; R$ 73.456,06 ; R$ 432.731,67 
CLIENTE 14;São Paulo;8312;01;000322;10/09/2020;01/07/2023;251026,73; R$ 183.886,72 ; R$ 170.294,22 ; R$ 421.320,95 
CLIENTE 15;São Paulo;8312;01;000401;28/10/2020;01/07/2023;543020,45; R$ 39.871,34 ; R$ 38.111,10 ; R$ 581.131,55 
CLIENTE 16;São Paulo;8312;01;000407;30/11/2020;01/07/2023;602853,77; R$ 76.730,34 ; R$ 74.871,49 ; R$ 677.725,26 
CLIENTE 17;São Paulo;8312;01;000422;16/09/2020;01/07/2023;419244,74; R$ 31.439,73 ; R$ 30.007,81 ; R$ 449.252,55 
CLIENTE 18;São Paulo;8312;01;000501;22/09/2020;01/07/2023;517197,52; R$ 39.140,64 ; R$ 37.019,77 ; R$ 554.217,29 
CLIENTE 19;São Paulo;8312;01;000502;31/08/2020;01/07/2023;249497,85; R$ 177.891,73 ; R$ 165.138,72 ; R$ 414.636,57 
CLIENTE 20;São Paulo;8312;01;000516;15/09/2020;01/07/2023;363676,14; R$ 72.036,85 ; R$ 67.878,46 ; R$ 431.554,60 
CLIENTE 21;São Paulo;8312;01;000517;22/09/2020;01/07/2023;425428; R$ 30.172,12 ; R$ 28.954,14 ; R$ 454.382,14 
CLIENTE 22;São Paulo;8312;01;000519;22/09/2020;01/07/2023;425428; R$ 30.172,12 ; R$ 28.954,14 ; R$ 454.382,14 
CLIENTE 23;São Paulo;8312;01;000520;31/08/2020;01/07/2023;404920,05; R$ 52.206,26 ; R$ 50.064,27 ; R$ 454.984,32 
CLIENTE 24;São Paulo;8312;01;000524;22/09/2020;01/07/2023;552141,43; R$ 40.839,89 ; R$ 38.832,36 ; R$ 590.973,79 
CLIENTE 25;São Paulo;8312;01;000604;18/09/2020;01/07/2023;421678,92; R$ 23.498,62 ; R$ 22.488,79 ; R$ 444.167,71 
CLIENTE 26;São Paulo;8312;01;000614;22/08/2020;01/07/2023;279659,99; R$ 143.952,70 ; R$ 132.101,82 ; R$ 411.761,81 
CLIENTE 27;São Paulo;8312;01;000616;22/08/2020;01/07/2023;279659,99; R$ 143.952,70 ; R$ 132.101,82 ; R$ 411.761,81 
CLIENTE 28;São Paulo;8312;01;000618;19/08/2020;01/07/2023;279659,99; R$ 144.013,99 ; R$ 132.181,01 ; R$ 411.841,00 
CLIENTE 29;São Paulo;8312;01;000620;19/08/2020;01/07/2023;279659,99; R$ 144.013,99 ; R$ 132.181,01 ; R$ 411.841,00 
CLIENTE 30;São Paulo;8312;01;000621;21/09/2020;01/07/2023;331333,22; R$ 117.265,04 ; R$ 109.120,14 ; R$ 440.453,36 
CLIENTE 31;São Paulo;8312;01;000624;20/08/2020;01/07/2023;456792,65; R$ 99.876,96 ; R$ 91.342,61 ; R$ 548.135,26 
CLIENTE 32;São Paulo;8312;01;000701;25/08/2020;01/07/2023;520659,03; R$ 41.350,92 ; R$ 38.727,49 ; R$ 559.386,52 
CLIENTE 33;São Paulo;8312;01;000704;31/08/2020;01/07/2023;397079,11; R$ 43.404,94 ; R$ 41.565,50 ; R$ 438.644,61 
CLIENTE 34;São Paulo;8312;01;000706;31/08/2020;01/07/2023;397079,11; R$ 43.427,56 ; R$ 41.587,70 ; R$ 438.666,81 
CLIENTE 35;São Paulo;8312;01;000709;15/09/2020;01/07/2023;637367,09; R$ 48.804,64 ; R$ 46.355,44 ; R$ 683.722,53 
CLIENTE 36;São Paulo;8312;01;000712;31/10/2020;01/07/2023;151591,19; R$ 286.238,46 ; R$ 272.556,04 ; R$ 424.147,23 
CLIENTE 37;São Paulo;8312;01;000719;14/10/2020;01/07/2023;189660,64; R$ 262.934,12 ; R$ 244.053,17 ; R$ 433.713,81 
CLIENTE 38;São Paulo;8312;01;000721;22/10/2020;01/07/2023;432459,04; R$ 27.398,16 ; R$ 26.192,37 ; R$ 458.651,41 
CLIENTE 39;São Paulo;8312;01;000724;18/08/2020;01/07/2023;511105,11; R$ 54.688,84 ; R$ 51.220,47 ; R$ 562.325,58 
CLIENTE 40;São Paulo;8312;01;000806;31/08/2020;01/07/2023;399580,61; R$ 43.179,51 ; R$ 41.311,69 ; R$ 440.892,30 
CLIENTE 41;São Paulo;8312;01;000811;20/10/2020;01/07/2023;456274,34; R$ 32.064,94 ; R$ 30.669,46 ; R$ 486.943,80 
CLIENTE 42;São Paulo;8312;01;000812;15/08/2020;01/07/2023;158038,57; R$ 237.508,24 ; R$ 217.827,17 ; R$ 375.865,74 
CLIENTE 43;São Paulo;8312;01;000814;15/08/2020;01/07/2023;158038,57; R$ 237.508,24 ; R$ 217.827,17 ; R$ 375.865,74 
CLIENTE 44;São Paulo;8312;01;000816;25/08/2020;01/07/2023;158068,31; R$ 237.642,97 ; R$ 217.882,08 ; R$ 375.950,39 
CLIENTE 45;São Paulo;8312;01;000818;31/08/2020;01/07/2023;355678,87; R$ 96.753,49 ; R$ 90.165,62 ; R$ 445.844,49 
CLIENTE 46;São Paulo;8312;01;000821;30/09/2020;01/07/2023;398322,09; R$ 82.563,62 ; R$ 77.774,17 ; R$ 476.096,26 
CLIENTE 47;São Paulo;8312;01;000824;31/10/2020;01/07/2023;466335,8; R$ 57.935,05 ; R$ 54.726,61 ; R$ 521.062,41 
CLIENTE 48;São Paulo;8312;01;000902;31/08/2020;01/07/2023;258557,65; R$ 177.613,80 ; R$ 164.885,92 ; R$ 423.443,57 
CLIENTE 49;São Paulo;8312;01;000907;31/08/2020;01/07/2023;674895,13; R$ 20.837,98 ; R$ 19.544,52 ; R$ 694.439,65 
CLIENTE 50;São Paulo;8312;01;000909;15/09/2020;01/07/2023;643715,29; R$ 49.674,53 ; R$ 46.852,46 ; R$ 690.567,75 
CLIENTE 51;São Paulo;8312;01;000911;25/08/2020;01/07/2023;449007,37; R$ 33.466,33 ; R$ 31.597,71 ; R$ 480.605,08 
CLIENTE 52;São Paulo;8312;01;000917;30/09/2020;01/07/2023;433235,79; R$ 33.582,64 ; R$ 32.119,38 ; R$ 465.355,17 
CLIENTE 53;São Paulo;8312;01;000919;24/08/2020;01/07/2023;147454,22; R$ 242.655,42 ; R$ 221.439,36 ; R$ 368.893,58 
CLIENTE 54;São Paulo;8312;01;000921;24/08/2020;01/07/2023;147454,22; R$ 242.655,43 ; R$ 221.439,36 ; R$ 368.893,58 
CLIENTE 55;São Paulo;8312;01;000923;24/08/2020;01/07/2023;162674,48; R$ 242.188,07 ; R$ 221.014,26 ; R$ 383.688,74 
CLIENTE 56;São Paulo;8312;01;000924;24/08/2020;01/07/2023;174259,56; R$ 304.889,81 ; R$ 280.879,01 ; R$ 455.138,57 
CLIENTE 57;São Paulo;8312;01;001007;27/10/2020;01/07/2023;404994,07; R$ 259.691,03 ; R$ 243.892,75 ; R$ 648.886,82 
CLIENTE 58;São Paulo;8312;01;001012;30/11/2020;01/07/2023;181630,62; R$ 240.334,20 ; R$ 230.277,65 ; R$ 411.908,27 
CLIENTE 59;São Paulo;8312;01;001018;21/09/2020;01/07/2023;262930,86; R$ 157.794,17 ; R$ 148.802,51 ; R$ 411.733,37 
CLIENTE 60;São Paulo;8312;01;001102;31/08/2020;01/07/2023;263735,19; R$ 177.454,82 ; R$ 164.741,32 ; R$ 428.476,51 
CLIENTE 61;São Paulo;8312;01;001106;31/08/2020;01/07/2023;229816,86; R$ 207.765,56 ; R$ 196.546,36 ; R$ 426.363,22 
CLIENTE 62;São Paulo;8312;01;001207;31/08/2020;01/07/2023;653275,84; R$ 50.426,85 ; R$ 47.971,40 ; R$ 701.247,24 
CLIENTE 63;São Paulo;8312;01;001309;31/08/2020;01/07/2023;585402,13; R$ 109.906,00 ; R$ 103.104,85 ; R$ 688.506,98 
CLIENTE 64;São Paulo;8312;01;001409;27/11/2020;01/07/2023;192690,62; R$ 469.356,03 ; R$ 447.796,72 ; R$ 640.487,34 
CLIENTE 65;São Paulo;2339;01;000113;11/02/2020;01/12/2022;261465,26; R$ 44.777,75 ; R$ 41.826,94 ; R$ 303.292,20 
CLIENTE 66;São Paulo;2339;01;000202;28/11/2019;01/12/2022;550833,7; R$ 78.437,40 ; R$ 72.010,42 ; R$ 622.844,12 
CLIENTE 67;São Paulo;2339;01;000209;16/12/2019;01/12/2022;233268,91; R$ 206.331,20 ; R$ 187.864,63 ; R$ 421.133,54 
CLIENTE 68;São Paulo;2339;01;000213;25/11/2019;01/12/2022;265389,01; R$ 51.022,91 ; R$ 46.871,38 ; R$ 312.260,39 
CLIENTE 69;São Paulo;2339;01;000303;20/11/2019;01/12/2022;115012,73; R$ 452.161,95 ; R$ 423.143,58 ; R$ 538.156,31 
CLIENTE 70;São Paulo;2339;01;000309;14/11/2019;01/12/2022;274322,58; R$ 159.364,71 ; R$ 148.524,68 ; R$ 422.847,26 
CLIENTE 71;São Paulo;2339;01;000310;14/11/2019;01/12/2022;197210,17; R$ 111.715,64 ; R$ 103.281,21 ; R$ 300.491,38 
CLIENTE 72;São Paulo;2339;01;000405;29/02/2020;01/12/2022;115019,18; R$ 177.819,45 ; R$ 163.864,01 ; R$ 278.883,19 
CLIENTE 73;São Paulo;2339;01;000503;10/11/2020;01/12/2022;480200,97; R$ 115.568,98 ; R$ 109.008,26 ; R$ 589.209,23 
CLIENTE 74;São Paulo;2339;01;000512;26/11/2019;01/12/2022;269942,74; R$ 40.968,51 ; R$ 37.970,08 ; R$ 307.912,82 
CLIENTE 75;São Paulo;2339;01;000603;19/11/2019;01/12/2022;538382,52; R$ 91.726,85 ; R$ 84.291,91 ; R$ 622.674,43 
CLIENTE 76;São Paulo;2339;01;000609;28/11/2019;01/12/2022;390261,21; R$ 54.256,90 ; R$ 50.496,86 ; R$ 440.758,07 
CLIENTE 77;São Paulo;2339;01;000614;21/11/2019;01/12/2022;269173,96; R$ 48.577,85 ; R$ 44.578,56 ; R$ 313.752,52 
CLIENTE 78;São Paulo;2339;01;000708;19/11/2019;01/12/2022;403672,92; R$ 75.710,04 ; R$ 69.474,68 ; R$ 473.147,60 
CLIENTE 79;São Paulo;2339;01;000715;30/11/2019;01/12/2022;277575,76; R$ 44.559,30 ; R$ 41.114,71 ; R$ 318.690,47 
CLIENTE 80;São Paulo;2339;01;000806;16/12/2019;01/12/2022;315322,04; R$ 59.027,77 ; R$ 54.214,69 ; R$ 369.536,73 
CLIENTE 81;São Paulo;2339;01;000810;30/11/2019;01/12/2022;272788,91; R$ 51.030,99 ; R$ 46.792,62 ; R$ 319.581,53 
CLIENTE 82;São Paulo;2339;01;000811;31/12/2019;01/12/2022;272029,32; R$ 50.410,76 ; R$ 46.482,30 ; R$ 318.511,62 
CLIENTE 83;São Paulo;2339;01;000813;30/11/2019;01/12/2022;279404,42; R$ 44.497,22 ; R$ 40.849,12 ; R$ 320.253,54 
CLIENTE 84;São Paulo;2339;01;000908;30/11/2019;01/12/2022;441158,22; R$ 44.856,59 ; R$ 41.431,64 ; R$ 482.589,86 
CLIENTE 85;São Paulo;2339;01;000909;14/11/2019;01/12/2022;386568,68; R$ 69.995,41 ; R$ 64.024,82 ; R$ 450.593,50 
CLIENTE 86;São Paulo;2339;01;000910;14/11/2019;01/12/2022;287720,39; R$ 40.124,70 ; R$ 37.002,45 ; R$ 324.722,84 
CLIENTE 87;São Paulo;2339;01;001007;21/11/2019;01/12/2022;311380,32; R$ 49.724,93 ; R$ 45.982,38 ; R$ 357.362,70 
CLIENTE 88;São Paulo;2339;01;001010;30/11/2019;01/12/2022;233594,69; R$ 86.991,85 ; R$ 78.868,07 ; R$ 312.462,76 
CLIENTE 89;São Paulo;2339;01;001014;30/11/2019;01/12/2022;233594,69; R$ 87.542,82 ; R$ 79.536,30 ; R$ 313.130,99 
CLIENTE 90;São Paulo;2339;01;001101;14/11/2019;01/12/2022;353829,19; R$ 118.334,43 ; R$ 109.310,87 ; R$ 463.140,06 
CLIENTE 91;São Paulo;2339;01;001105;31/01/2020;01/12/2022;253541,6; R$ 59.107,08 ; R$ 54.624,48 ; R$ 308.166,08 
CLIENTE 92;São Paulo;2339;01;001108;28/11/2019;01/12/2022;255524,46; R$ 213.295,24 ; R$ 194.073,87 ; R$ 449.598,33 
CLIENTE 93;São Paulo;2339;01;001114;28/11/2019;01/12/2022;248688,5; R$ 66.589,24 ; R$ 60.774,46 ; R$ 309.462,96 
CLIENTE 94;São Paulo;2339;01;001205;31/12/2019;01/12/2022;288318,49; R$ 41.247,19 ; R$ 38.522,05 ; R$ 326.840,54 
CLIENTE 95;São Paulo;2339;01;001213;21/11/2019;01/12/2022;285010,25; R$ 52.632,94 ; R$ 48.199,87 ; R$ 333.210,12 
CLIENTE 96;São Paulo;2339;01;001214;21/11/2019;01/12/2022;285010,25; R$ 52.603,60 ; R$ 48.199,87 ; R$ 333.210,12 
CLIENTE 97;São Paulo;2339;01;001303;29/11/2019;01/12/2022;296833,39; R$ 320.039,98 ; R$ 287.667,50 ; R$ 584.500,89 
CLIENTE 98;São Paulo;2339;01;001307;13/12/2019;01/12/2022;229011,5; R$ 142.876,63 ; R$ 132.538,38 ; R$ 361.549,88 
CLIENTE 99;São Paulo;2339;01;001310;21/11/2019;01/12/2022;267164; R$ 56.285,44 ; R$ 51.245,59 ; R$ 318.409,59 
CLIENTE 100;São Paulo;2339;01;001314;11/12/2019;01/12/2022;280787,59; R$ 52.650,60 ; R$ 48.320,87 ; R$ 329.108,46 
CLIENTE 101;São Paulo;2339;01;001315;19/11/2019;01/12/2022;280787,59; R$ 43.251,88 ; R$ 39.888,07 ; R$ 320.675,66 
CLIENTE 102;São Paulo;2339;01;001409;19/11/2019;01/12/2022;400098,29; R$ 76.303,51 ; R$ 69.936,49 ; R$ 470.034,78 
CLIENTE 103;São Paulo;2339;01;001410;28/11/2019;01/12/2022;106595,77; R$ 203.693,07 ; R$ 185.623,70 ; R$ 292.219,47 
CLIENTE 104;São Paulo;2339;01;001501;30/11/2019;01/12/2022;396891,33; R$ 80.668,99 ; R$ 74.068,66 ; R$ 470.959,99 
CLIENTE 105;São Paulo;2339;01;001601;30/11/2019;01/12/2022;400698,41; R$ 81.378,00 ; R$ 74.779,13 ; R$ 475.477,54 
CLIENTE 106;São Paulo;2339;01;001608;21/11/2019;01/12/2022;429157,85; R$ 66.137,56 ; R$ 60.995,75 ; R$ 490.153,60 
CLIENTE 107;São Paulo;2339;01;001609;19/11/2019;01/12/2022;167197,22; R$ 270.769,84 ; R$ 245.087,86 ; R$ 412.285,08 
CLIENTE 108;São Paulo;2339;01;001610;26/11/2019;01/12/2022;287619,92; R$ 54.242,61 ; R$ 147.521,52 ; R$ 435.141,44 
CLIENTE 109;São Paulo;2339;01;001611;28/11/2019;01/12/2022;302150,11; R$ 40.711,52 ; R$ 37.639,83 ; R$ 339.789,94 
CLIENTE 110;São Paulo;2339;01;001615;26/11/2019;01/12/2022;301090,88; R$ 43.752,19 ; R$ 40.047,33 ; R$ 341.138,21 
CLIENTE 111;São Paulo;2339;01;001713;31/05/2020;01/12/2022;230375,07; R$ 90.450,35 ; R$ 82.325,78 ; R$ 312.700,85 
CLIENTE 112;São Paulo;2339;01;001803;19/11/2019;01/12/2022;230182,53; R$ 396.285,45 ; R$ 359.442,50 ; R$ 589.625,03 
CLIENTE 113;São Paulo;2339;01;001804;31/03/2020;01/12/2022;262505,74; R$ 208.634,40 ; R$ 195.176,04 ; R$ 457.681,78 
CLIENTE 114;São Paulo;2339;01;001910;15/09/2020;01/12/2022;390261,21; R$ 116.952,29 ; R$ 108.832,34 ; R$ 499.093,55 
CLIENTE 115;São Paulo;7869;01;000062;25/09/2018;01/01/2022;1365584,39; R$ 784.942,54 ; R$ 710.767,46 ; R$ 2.076.351,85 
CLIENTE 116;São Paulo;7869;01;000123;25/09/2018;01/01/2022;1631931,87; R$ 628.180,39 ; R$ 562.768,10 ; R$ 2.194.699,97 
CLIENTE 117;São Paulo;7869;01;000171;25/09/2018;01/01/2022;1276072,32; R$ 1.138.241,84 ; R$ 969.494,14 ; R$ 2.245.566,46 
CLIENTE 118;São Paulo;7869;01;000113;27/09/2018;01/01/2022;1723892,77; R$ 680.876,70 ; R$ 624.587,57 ; R$ 2.348.480,34 
CLIENTE 119;São Paulo;7869;01;000174;27/09/2018;01/01/2022;1459103,32; R$ 923.842,49 ; R$ 810.623,85 ; R$ 2.269.727,17 
CLIENTE 120;São Paulo;7869;01;000211;27/09/2018;01/01/2022;1972364,62; R$ 689.430,18 ; R$ 612.002,44 ; R$ 2.584.367,06 
CLIENTE 121;São Paulo;7869;01;000101;08/10/2018;01/01/2022;1667121,76; R$ 645.584,29 ; R$ 573.836,36 ; R$ 2.240.958,12 
CLIENTE 122;São Paulo;7639;01;000134;31/10/2018;01/03/2022;1923774,64; R$ 508.970,78 ; R$ 453.874,12 ; R$ 2.377.648,76 
CLIENTE 123;São Paulo;7639;01;000104;08/11/2018;01/03/2022;1454737,97; R$ 865.606,08 ; R$ 774.353,87 ; R$ 2.229.091,84 
CLIENTE 124;São Paulo;7639;01;000182;13/11/2018;01/03/2022;709411,58; R$ 2.950.659,46 ; R$ 2.676.831,87 ; R$ 3.386.243,45 
CLIENTE 125;São Paulo;7639;01;000264;13/11/2018;01/03/2022;1119886,83; R$ 1.324.407,91 ; R$ 1.180.042,69 ; R$ 2.299.929,52 
CLIENTE 126;São Paulo;7639;01;000123;17/11/2018;01/03/2022;1812478,98; R$ 569.222,19 ; R$ 511.243,59 ; R$ 2.323.722,57 
CLIENTE 127;São Paulo;7639;01;000041;19/11/2018;01/03/2022;2841885,09; R$ 880.796,51 ; R$ 797.160,19 ; R$ 3.639.045,28 
CLIENTE 128;São Paulo;7639;01;000051;22/11/2018;01/03/2022;2905061,36; R$ 824.626,26 ; R$ 744.176,54 ; R$ 3.649.237,90 
CLIENTE 129;São Paulo;7639;01;000032;23/11/2018;01/03/2022;2849490,9; R$ 771.128,41 ; R$ 694.570,41 ; R$ 3.544.061,31 
CLIENTE 130;São Paulo;7639;01;000274;23/11/2018;01/03/2022;1127707,89; R$ 1.444.705,72 ; R$ 1.287.401,03 ; R$ 2.415.108,92 
CLIENTE 131;São Paulo;7639;01;000262;26/11/2018;01/03/2022;4013343,78; R$ 1.037.314,62 ; R$ 934.295,95 ; R$ 4.947.639,73 
CLIENTE 132;São Paulo;7639;01;000111;27/11/2018;01/03/2022;2867779,79; R$ 927.575,56 ; R$ 839.924,33 ; R$ 3.707.704,12 
CLIENTE 133;São Paulo;7639;01;000221;30/11/2018;01/03/2022;3350446,82; R$ 771.615,03 ; R$ 699.384,16 ; R$ 4.049.830,98 
CLIENTE 134;São Paulo;3259;01;000002;24/11/2020;01/10/2023;678453,79; R$ 412.800,87 ; R$ 388.103,49 ; R$ 1.066.557,28 
CLIENTE 135;São Paulo;3259;01;000043;14/12/2020;01/10/2023;871844,56; R$ 30.584,64 ; R$ 29.742,91 ; R$ 901.587,47 
CLIENTE 136;São Paulo;7869;01;000154;30/11/2018;01/01/2022;739749,55; R$ 1.579.343,29 ; R$ 1.399.449,17 ; R$ 2.139.198,72 
CLIENTE 137;São Paulo;3259;01;000083;30/11/2020;01/10/2023;878710,88; R$ 42.612,92 ; R$ 40.253,42 ; R$ 918.964,30 
CLIENTE 138;São Paulo;3259;01;000113;24/11/2020;01/10/2023;865375,42; R$ 62.514,10 ; R$ 60.528,25 ; R$ 925.903,67 
CLIENTE 139;São Paulo;3259;01;000162;25/11/2020;01/10/2023;753750,52; R$ 157.839,45 ; R$ 148.862,60 ; R$ 902.613,12 
CLIENTE 140;São Paulo;3259;01;000164;25/11/2020;01/10/2023;829921,85; R$ 115.142,65 ; R$ 111.420,19 ; R$ 941.342,04 
CLIENTE 141;São Paulo;3259;01;000273;09/02/2021;01/10/2023;1472206,12; R$ 442.834,41 ; R$ 432.398,95 ; R$ 1.904.605,07 
CLIENTE 142;São Paulo;9330;01;000054;07/12/2018;01/10/2021;102280,47; R$ 1.432.005,04 ; R$ 1.261.076,98 ; R$ 1.363.357,45 
CLIENTE 143;São Paulo;7869;01;000213;11/12/2018;01/01/2022;1609133,87; R$ 697.204,40 ; R$ 623.096,56 ; R$ 2.232.230,43 
CLIENTE 144;São Paulo;7869;01;000224;11/12/2018;01/01/2022;1680492,37; R$ 695.662,72 ; R$ 621.776,56 ; R$ 2.302.268,93 
CLIENTE 145;São Paulo;9330;01;000163;11/12/2018;01/10/2021;1016706,98; R$ 847.113,25 ; R$ 752.393,78 ; R$ 1.769.100,76 
CLIENTE 146;São Paulo;9330;01;000133;12/12/2018;01/10/2021;390261,21; R$ 269.639,18 ; R$ 240.526,10 ; R$ 630.787,31 
CLIENTE 147;São Paulo;7639;01;000142;12/12/2018;01/03/2022;3227438,84; R$ 829.434,34 ; R$ 748.581,28 ; R$ 3.976.020,12 
CLIENTE 148;São Paulo;9330;01;000183;13/12/2018;01/10/2021;1500726,96; R$ 454.673,87 ; R$ 403.405,20 ; R$ 1.904.132,16 
CLIENTE 149;São Paulo;3490;01;000081;26/08/2019;01/06/2022;756675,48; R$ 155.191,02 ; R$ 141.478,37 ; R$ 898.153,85 
CLIENTE 150;São Paulo;3490;01;000101;31/07/2020;01/06/2022;702990,31; R$ 163.535,75 ; R$ 152.929,73 ; R$ 855.920,04 
CLIENTE 151;São Paulo;3490;01;000113;16/07/2019;01/06/2022;555068,39; R$ 153.648,15 ; R$ 136.095,21 ; R$ 691.163,60 
CLIENTE 152;São Paulo;9330;01;000043;14/12/2018;01/10/2021;1180982,98; R$ 526.193,14 ; R$ 468.568,60 ; R$ 1.649.551,58 
CLIENTE 153;São Paulo;9330;01;000132;16/12/2018;01/10/2021;382811,68; R$ 1.466.506,69 ; R$ 1.355.561,91 ; R$ 1.738.373,59 
CLIENTE 154;São Paulo;9330;01;000142;16/12/2018;01/10/2021;398235,43; R$ 1.465.764,47 ; R$ 1.354.926,41 ; R$ 1.753.161,84 
CLIENTE 155;São Paulo;9330;01;000152;16/12/2018;01/10/2021;385008,13; R$ 1.500.290,94 ; R$ 147.521,52 ; R$ 532.529,65 
CLIENTE 156;São Paulo;9330;01;000192;17/12/2018;01/10/2021;1052924,01; R$ 930.933,81 ; R$ 815.498,22 ; R$ 1.868.422,23 
CLIENTE 157;São Paulo;9330;01;000022;18/12/2018;01/10/2021;1315462,82; R$ 502.327,62 ; R$ 447.193,33 ; R$ 1.762.656,15 
CLIENTE 158;São Paulo;9330;01;000031;19/12/2018;01/10/2021;1245914,17; R$ 553.900,04 ; R$ 510.090,49 ; R$ 1.756.004,66 
CLIENTE 159;São Paulo;7869;01;000184;26/12/2018;01/01/2022;1918181,45; R$ 545.392,35 ; R$ 488.264,03 ; R$ 2.406.445,48 
CLIENTE 160;São Paulo;3623;01;000031;15/12/2020;01/06/2022;1213567,24; R$ 231.127,54 ; R$ 227.288,58 ; R$ 1.440.855,82 
CLIENTE 161;São Paulo;3623;01;000041;28/06/2019;01/06/2022;161072,58; R$ 1.278.111,67 ; R$ 1.217.605,01 ; R$ 1.378.677,59 
CLIENTE 162;São Paulo;3623;01;000052;05/11/2020;01/06/2022;312256,75; R$ 1.045.973,76 ; R$ 997.337,33 ; R$ 1.309.594,08 
CLIENTE 163;São Paulo;3623;01;000061;31/10/2020;01/06/2022;1116730,16; R$ 311.457,00 ; R$ 298.752,98 ; R$ 1.415.483,14 
CLIENTE 164;São Paulo;3623;01;000072;25/09/2020;01/06/2022;1283538,99; R$ 223.364,90 ; R$ 210.697,05 ; R$ 1.494.236,04 
CLIENTE 165;São Paulo;3623;01;000074;31/08/2020;01/06/2022;1261723,47; R$ 162.937,86 ; R$ 156.841,70 ; R$ 1.418.565,17 
CLIENTE 166;São Paulo;3623;01;000094;17/09/2020;01/06/2022;966906,17; R$ 483.477,48 ; R$ 454.002,76 ; R$ 1.420.908,93 
CLIENTE 167;São Paulo;3623;01;000102;30/06/2019;01/06/2022;991556,08; R$ 542.952,09 ; R$ 492.576,00 ; R$ 1.484.132,08 
CLIENTE 168;São Paulo;3623;01;000111;26/10/2020;01/06/2022;1000080,95; R$ 453.244,14 ; R$ 433.375,51 ; R$ 1.433.456,46 
CLIENTE 169;São Paulo;3623;01;000113;30/06/2019;01/06/2022;1049669,89; R$ 455.284,57 ; R$ 413.300,04 ; R$ 1.462.969,93 
CLIENTE 170;São Paulo;3623;01;000123;25/09/2019;01/06/2022;311375,26; R$ 1.082.797,31 ; R$ 976.740,23 ; R$ 1.288.115,49 
CLIENTE 171;São Paulo;3623;01;000134;27/06/2019;01/06/2022;786689,49; R$ 729.561,21 ; R$ 650.160,20 ; R$ 1.436.849,69 
CLIENTE 172;São Paulo;3623;01;000144;30/04/2020;01/06/2022;750764,61; R$ 725.103,62 ; R$ 688.187,67 ; R$ 1.438.952,28 
CLIENTE 173;São Paulo;7639;01;000233;31/01/2019;01/03/2022;2122914,87; R$ 567.870,00 ; R$ 513.465,32 ; R$ 2.636.380,19 
CLIENTE 174;São Paulo;3623;01;000162;31/05/2020;01/06/2022;647180,73; R$ 858.634,72 ; R$ 783.008,06 ; R$ 1.430.188,79 
CLIENTE 175;São Paulo;3623;01;000184;27/06/2019;01/06/2022;1010099,86; R$ 571.939,59 ; R$ 524.081,93 ; R$ 1.534.181,79 
CLIENTE 176;São Paulo;7869;01;000084;28/02/2019;01/01/2022;1827991,43; R$ 517.938,65 ; R$ 470.799,43 ; R$ 2.298.790,86 
CLIENTE 177;São Paulo;7761;01;000231;22/03/2019;01/06/2022;390261,21; R$ 933.037,20 ; R$ 855.655,89 ; R$ 1.245.917,10 
CLIENTE 178;São Paulo;7761;01;000067;23/03/2019;01/06/2022;897584,54; R$ 208.844,41 ; R$ 188.312,07 ; R$ 1.085.896,61 
