36,Rednavnet,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-01T12:47:30.267Z,"[20,150]",male,Fai,Analista de sistema
27,Ty,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-19T03:44:03.092Z,"[20,150]",male,Uft,Uu
23,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-01T13:49:26.683Z,"[20,150]",male,,
23,2Solve,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-01T14:50:09.865Z,"[20,150]",male,Superior,Desenvolvedor de Software
21,Flatmatch,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-16T20:26:17.432Z,"[20,150]",male,FIAP,Desenvolvedor
27,Freelancer,"[500,2700]","[-46.6344496,-23.5894943]",Vila Mariana,Point,apartment,2020-04-01T15:19:34.827Z,"[20,150]",female,Designer,Designer Gráfico
44,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-01T20:22:51.426Z,"[20,150]",male,,
26,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-02T01:51:41.317Z,"[20,150]",male,Estudante,Estudante
28,IBM,"[500,1300]","[-46.7210095,-23.5634872]",Butantã,Point,apartment,2020-04-02T21:30:18.154Z,"[20,150]",female,Ciência da Computação,Desenvolvedora BPM
21,Fabrício Show Cortes,"[500,1300]","[-46.7210095,-23.5634872]",Butantã,Point,home,2020-04-03T04:43:43.318Z,"[20,484]",male,Ensino Médio,barbeiro / Autônomo
32,Bebidas em geral pg,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-03T05:49:40.525Z,"[20,150]",male,Pos graduado,Autônomo
23,CTX,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,home,2020-04-03T07:57:01.181Z,"[20,150]",male,Tecnólogo em Automação Industrial,Técnico em Telecon/ Automação Predial
58,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-03T08:14:36.212Z,"[20,150]",male,,
42,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-03T11:09:53.825Z,"[20,150]",female,,
20,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-03T18:51:32.475Z,"[20,150]",female,,
31,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-03T21:10:49.507Z,"[20,150]",male,,
21,Ambev,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-03T21:15:22.288Z,"[20,150]",male,Ensino completo,Promotor de vendas
70,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-03T21:30:58.902Z,"[20,150]",male,,
31,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-03T21:33:21.703Z,"[20,150]",female,,
17,Ambev,"[500,700]","[-46.6291845,-23.5431786]",State of São Paulo,Point,apartment,2020-04-03T21:56:57.870Z,"[20,150]",female,Ensino médio completo,Jovem aprendiz
62,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-03T22:09:49.906Z,"[20,150]",female,,
37,Hinode,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-03T22:20:37.968Z,"[20,150]",female,Não me formei,Manicure
28,Nexa,"[500,4000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-03T23:10:45.876Z,"[20,242]",female,Engenheira de Produção / Mackenzie,Engenheira de Planejamento
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-04T01:36:15.420Z,"[20,150]",,,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-04T04:40:36.407Z,"[20,150]",,,
19,,"[500,600]","[-46.6666105,-23.5642422]",Augusta Street,Point,apartment,2020-04-04T04:42:52.751Z,"[20,150]",female,,
30,Mr clean,"[500,800]","[-43.9386558,-19.919168]",Centro,Point,apartment,2020-04-04T16:09:22.329Z,"[20,150]",male,UFVJM,Dentista
25,Cyrela,"[500,2200]","[-46.6780743,-23.5837476]",Itaim Bibi,Point,apartment,2020-04-04T16:53:52.388Z,"[20,150]",female,Contabilidade,Comercial
31,Theol,"[500,1800]","[8.309307200000001,47.05016819999999]",Lucerne,Point,apartment,2020-04-04T23:37:10.860Z,"[20,150]",female,Theol,Theol
33,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-05T21:52:39.694Z,"[20,150]",female,,
30,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,home,2020-04-06T16:54:04.582Z,"[20,150]",female,,
37,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-06T20:14:34.778Z,"[20,150]",female,,
30,Ray Mariz Store,"[700,5300]","[-49.2647943,-16.68689119999999]",Goiânia,Point,apartment,2020-04-07T09:24:17.218Z,"[20,500]",female,Publicidade e propaganda,Influencer e empresária
27,GDS Arquitetura,"[500,1500]","[-46.5648481,-23.6898429]",São Bernardo do Campo,Point,apartment,2020-04-08T13:33:09.264Z,"[20,150]",female,Belas Artes,Designer de Interiores
27,Freela eu,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-19T03:12:54.688Z,"[20,150]",male,Uf,Ti
37,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-09T03:01:02.878Z,"[20,150]",female,Moda,Adm
29,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-09T16:47:47.591Z,"[20,150]",male,,
22,Teste,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-10T13:01:30.809Z,"[20,150]",other,Teste,Teste
90,It,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-10T15:23:42.705Z,"[20,150]",male,Segundo grau,S
17,,"[500,700]","[-43.20949710000001,-22.9098755]",State of Rio de Janeiro,Point,apartment,2020-04-13T03:38:53.991Z,"[20,150]",female,,
26,Sem,"[500,2200]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-13T15:10:37.486Z,"[20,150]",female,publicidade,VM
19,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-13T22:38:37.892Z,"[20,150]",female,Uni Bern,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-13T22:42:22.772Z,"[20,150]",,,
18,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-13T23:00:22.605Z,"[20,150]",male,,
30,Pierre Fabre,"[500,5000]","[-43.17289650000001,-22.9068467]",Rio de Janeiro,Point,apartment,2020-04-22T14:10:05.420Z,"[20,150]",male,ESPM - Escola Superior de Propaganda e Marketing,Chefe de Produto
18,Nenhuma,"[500,1000]","[-43.9344931,-19.9166813]",Belo Horizonte,Point,apartment,2020-04-14T14:47:37.192Z,"[20,149]",female,Sistema Elite de Ensino,Pet sitter
44,Própria,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-17T09:47:28.166Z,"[20,150]",male,Usp e fatec/SP,Investidor
20,c,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-17T22:16:04.716Z,"[20,150]",female,a,b
29,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-17T23:01:31.613Z,"[20,150]",male,,
34,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-18T09:12:50.919Z,"[20,150]",male,,
null,,"[500,5000]","[7.588576099999999,47.55959860000001]",Basel,Point,apartment,2020-04-18T13:56:48.782Z,"[20,150]",,,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-18T15:34:12.610Z,"[20,150]",,,
28,Vizyon Ent.,"[500,3000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-18T16:58:25.708Z,"[20,203]",other,"Comunical social, rádio e televisão",Pro
23,UNIP,"[500,900]","[-46.6507953,-23.566084]",Avenida Paulista,Point,apartment,2020-04-19T08:04:10.277Z,"[20,150]",female,Publicidade,Estudante
25,Paquistanês Enginner,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-21T17:42:49.805Z,"[20,150]",,EAD,Programador
28,Recolocação,"[500,5000]","[-49.376521,-20.8127115]",São José do Rio Preto,Point,apartment,2020-04-21T21:39:45.886Z,"[20,150]",female,Enfermagem,Enfermeira
18,Muffatao west side,"[500,5000]","[-53.45951119999999,-24.9577771]",Cascavel,Point,apartment,2020-04-22T22:46:06.674Z,"[20,150]",male,Jornalismo Fag,Recepcionista
36,Belle Femme,"[500,2000]","[-46.659167,-23.654167]",South Zone of São Paulo,Point,apartment,2020-04-24T02:48:04.028Z,"[20,150]",female,Médio completo,Cabeleireira
27,SwissIT,"[1200,1300]","[8.723688899999999,47.49881959999999]",Winterthur,Point,apartment,2020-04-24T09:19:07.131Z,"[20,150]",male,Student,IT
0,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-25T16:46:55.818Z,"[20,150]",female,,
44,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-26T07:33:04.725Z,"[20,150]",male,,Koch
22,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-26T11:01:19.654Z,"[20,150]",male,,
25,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-26T17:13:43.137Z,"[20,150]",male,,Esucador fisico
24,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-26T21:58:52.244Z,"[20,150]",female,,
26,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-27T05:03:42.064Z,"[20,150]",male,,
24,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-27T13:38:38.003Z,"[20,150]",male,,
29,KeyCash,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-27T21:34:06.648Z,"[20,150]",male,Unip,Designer
39,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-28T19:56:50.677Z,"[20,150]",male,,
27,SNR holdings,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-29T01:43:41.517Z,"[20,150]",male,Calliburgh university,Lecturer
35,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-29T14:18:38.547Z,"[20,150]",male,,
21,Lenovo,"[500,900]","[-47.2079557,-23.0881998]",Indaiatuba,Point,apartment,2020-04-30T01:56:23.224Z,"[20,151]",female,Estudante de farmácia,Reparador II
24,Nenhuma,"[500,600]","[-49.2647943,-16.68689119999999]",Goiânia,Point,apartment,2020-04-30T04:13:23.194Z,"[20,150]",male,Estudando,Estudante
32,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-30T13:20:11.238Z,"[20,150]",male,,
19,,"[500,5000]","[-48.5187229,-27.5986393]",Florianópolis,Point,apartment,2020-04-30T18:07:52.204Z,"[20,150]",female,Nenhuma,
30,Itaú Unibanco,"[500,5000]","[-60.0217314,-3.1190275]",Manaus,Point,apartment,2020-05-03T14:50:15.420Z,"[20,150]",male,Devry University,Bancário
24,Estudante,"[500,600]","[-38.5269981,-3.732714399999999]",Fortaleza,Point,apartment,2020-05-03T18:50:58.441Z,"[20,80]",female,Universidadd federal do ceará,Estudante
29,Nil,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-04T07:54:53.505Z,"[20,150]",male,Nil,Nil
39,Sabático,"[3000,5000]","[-46.682458,-23.6193175]",Brooklin,Point,apartment,2020-05-04T15:34:03.146Z,"[20,487]",male,ESPM - Publicitário,Empresário
30,Motorola,"[500,1500]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-05T21:34:25.530Z,"[20,150]",male,,Designer
18,-,"[500,600]","[-43.17289650000001,-22.9068467]",Rio de Janeiro,Point,apartment,2020-05-04T18:49:28.265Z,"[20,21]",female,UFRJ,Estudante
19,Estudante,"[500,5000]","[-43.1868448,-22.9694417]",Copacabana,Point,apartment,2020-05-05T02:30:37.976Z,"[20,500]",female,Direito/ UFRJ,Estudante
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-05T19:18:53.784Z,"[20,150]",,,
21,Global Bumh,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-06T16:51:55.417Z,"[20,150]",female,Ensino Superior Completo,Social Media
32,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-07T21:00:07.064Z,"[20,150]",female,,
22,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-08T14:01:56.038Z,"[20,150]",male,,
28,Na,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-09T03:48:49.699Z,"[20,150]",female,Divine Word College,Real Estate
23,Unip,"[500,1200]","[-46.5648481,-23.6898429]",São Bernardo do Campo,Point,apartment,2020-05-09T15:04:07.031Z,"[20,83]",female,Unip Anchieta,Biomédica
23,.,"[500,4800]","[-35.1984185,-5.8937195]",Nova Parnamirim,Point,apartment,2020-05-09T15:33:24.816Z,"[20,150]",female,.,.
33,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-11T20:41:22.205Z,"[20,150]",male,,
22,Social Bank,"[500,2000]","[-48.27548399999999,-18.9127534]",Uberlândia,Point,apartment,2020-05-13T15:44:50.677Z,"[20,150]",male,Relações Internacionais - UFU,Comercial
39,Cielo,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-14T21:47:45.690Z,"[20,150]",male,Engenharia / UNIP,Product Owner
23,Assistência Inteligente,"[500,1200]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-16T07:48:34.627Z,"[20,150]",male,Curso Técnico,Técnico em Manutenção de Celulares
22,FLATMATCH,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-16T21:18:05.288Z,"[20,150]",male,FIAP - SISTEMAS DA INFO,Developer
29,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-17T02:55:31.087Z,"[20,150]",male,,
22,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-18T02:06:42.293Z,"[20,150]",female,Administração,Empresária
23,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-18T12:44:12.987Z,"[20,150]",male,,
27,CVC Corp,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-18T16:09:27.835Z,"[20,150]",male,Direito,Advogado
29,Flatmatch,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-19T20:55:24.723Z,"[20,150]",male,FIAP,Desenvolvedor
29,Flat,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-19T21:27:19.880Z,"[20,150]",male,FIAP,Dev
